,JPM,rsi,MACD,Golden,Money Flow
2010-08-06,38.67,0,0,1,0
2010-08-09,38.08,0,1,0,0
2010-08-10,37.46,0,1,0,0
2010-08-11,36.12,0,0,0,0
2010-08-12,36.16,0,0,0,0
2010-08-13,35.86,0,0,0,0
2010-08-16,36.04,0,0,0,0
2010-08-17,35.84,0,0,-1,0
2010-08-18,36.23,1,0,0,1
2010-08-19,35.45,0,0,0,0
2010-08-20,35.52,0,0,0,0
2010-08-23,35.27,0,0,0,0
2010-08-24,34.63,0,0,0,0
2010-08-25,34.64,0,0,0,0
2010-08-26,34.07,0,0,0,0
2010-08-27,35.0,0,0,0,0
2010-08-30,34.28,0,0,0,0
2010-08-31,34.77,1,0,0,1
2010-09-01,36.09,0,0,0,0
2010-09-02,36.49,0,-1,0,0
2010-09-03,37.46,0,0,0,0
2010-09-07,36.61,0,0,0,0
2010-09-08,37.41,0,0,0,0
2010-09-09,38.35,0,0,0,0
2010-09-10,38.02,0,0,1,0
2010-09-13,39.32,0,0,1,0
2010-09-14,38.94,0,0,1,0
2010-09-15,39.19,0,0,0,0
2010-09-16,39.2,0,0,0,0
2010-09-17,38.31,-1,0,0,-1
2010-09-20,39.39,0,0,0,0
2010-09-21,38.81,0,0,0,0
2010-09-22,38.19,-1,0,0,-1
2010-09-23,37.39,0,0,0,0
2010-09-24,38.01,0,1,0,0
2010-09-27,37.37,0,1,0,0
2010-09-28,37.25,0,0,0,0
2010-09-29,36.73,0,0,0,0
2010-09-30,36.39,0,0,0,0
2010-10-01,37.11,0,0,0,0
2010-10-04,37.29,0,0,0,0
2010-10-05,37.95,0,0,0,0
2010-10-06,38.2,0,0,0,0
2010-10-07,37.84,0,0,0,0
2010-10-08,37.64,0,0,0,0
2010-10-11,38.04,0,0,0,0
2010-10-12,38.68,0,-1,0,0
2010-10-13,38.15,0,0,0,0
2010-10-14,37.07,0,1,0,0
2010-10-15,35.57,0,1,0,0
2010-10-18,36.58,0,0,0,0
2010-10-19,36.09,0,0,0,0
2010-10-20,36.48,0,0,0,0
2010-10-21,36.1,0,0,0,0
2010-10-22,36.1,0,0,0,0
2010-10-25,35.49,0,0,0,0
2010-10-26,35.62,0,0,-1,0
2010-10-27,35.94,0,0,0,1
2010-10-28,35.92,0,0,0,0
2010-10-29,36.03,0,0,0,0
2010-11-01,35.83,0,0,0,0
2010-11-02,35.39,1,0,0,1
2010-11-03,36.12,0,0,0,0
2010-11-04,38.11,0,-1,0,0
2010-11-05,39.2,0,0,0,0
2010-11-08,38.79,0,0,0,0
2010-11-09,38.2,0,0,0,0
2010-11-10,38.89,0,0,1,0
2010-11-11,38.32,0,0,0,0
2010-11-12,37.93,0,0,0,0
2010-11-15,38.38,0,0,0,0
2010-11-16,37.93,0,0,0,0
2010-11-17,37.51,0,0,0,0
2010-11-18,37.97,0,0,0,0
2010-11-19,37.73,0,0,0,0
2010-11-22,36.87,0,1,0,0
2010-11-23,36.03,0,0,0,0
2010-11-24,36.54,0,0,0,0
2010-11-26,35.91,0,0,0,0
2010-11-29,36.3,1,0,0,1
2010-11-30,35.81,0,0,-1,0
2010-12-01,36.53,0,0,0,0
2010-12-02,37.64,0,0,0,0
2010-12-03,37.93,0,-1,0,0
